time,obj,cube_scale,topk,seed,ee_index,ik_iters,ik_attempts,joint_force,descent_step,descend_clear,vel_close,pos_close,squeeze,fast,fast_scale,n_trials,success_count,success_rate
2025-11-09 23:44:03,grasp_6dof/assets/cylinder.urdf,0.08,12,1,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,8,0.6667
2025-11-09 23:44:54,sphere_small.urdf,0.08,12,1,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,0,0.0
2025-11-10 00:01:21,grasp_6dof/assets/cylinder.urdf,0.08,12,1,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,9,0.75
2025-11-10 00:02:15,sphere_small.urdf,0.08,12,1,11,400,5,900.0,0.002,0.025,0.4,1100.0,0.5,1,0.85,12,0,0.0
2025-11-10 02:35:37,sphere_small.urdf,0.08,12,1,11,400,5,900.0,0.002,0.025,0.4,1100.0,0.5,1,0.85,12,0,0.0
2025-11-10 03:15:58,sphere_small.urdf,0.08,12,1,11,400,5,900.0,0.002,0.025,0.4,1100.0,0.5,1,0.85,12,0,0.0
2025-11-13 20:08:02,sphere_small.urdf,0.08,12,1,11,400,5,900.0,0.002,0.025,0.4,1100.0,0.5,1,0.85,12,0,0.0
2025-11-13 22:18:25,sphere_small.urdf,0.08,12,1,11,400,5,900.0,0.002,0.025,0.4,1100.0,0.5,1,0.85,12,12,1.0
2025-11-13 23:34:59,grasp_6dof/assets/cylinder.urdf,0.08,12,1,11,400,5,900.0,0.002,0.025,0.4,1100.0,0.5,1,0.85,12,5,0.4167
2025-11-13 23:35:58,grasp_6dof/assets/cylinder.urdf,0.08,12,2,11,400,5,900.0,0.002,0.025,0.4,1100.0,0.5,1,0.85,12,5,0.4167
2025-11-13 23:36:58,grasp_6dof/assets/cylinder.urdf,0.08,12,3,11,400,5,900.0,0.002,0.025,0.4,1100.0,0.5,1,0.85,12,5,0.4167
2025-11-13 23:37:52,grasp_6dof/assets/cylinder.urdf,0.08,12,4,11,400,5,900.0,0.002,0.025,0.4,1100.0,0.5,1,0.85,12,5,0.4167
2025-11-13 23:38:43,grasp_6dof/assets/cylinder.urdf,0.08,12,5,11,400,5,900.0,0.002,0.025,0.4,1100.0,0.5,1,0.85,12,5,0.4167
2025-11-13 23:39:34,grasp_6dof/assets/sphere_small.urdf,0.08,12,1,11,400,5,900.0,0.002,0.025,0.4,1100.0,0.5,1,0.85,12,12,1.0
2025-11-13 23:40:24,grasp_6dof/assets/sphere_small.urdf,0.08,12,2,11,400,5,900.0,0.002,0.025,0.4,1100.0,0.5,1,0.85,12,12,1.0
2025-11-13 23:41:14,grasp_6dof/assets/sphere_small.urdf,0.08,12,3,11,400,5,900.0,0.002,0.025,0.4,1100.0,0.5,1,0.85,12,12,1.0
2025-11-13 23:42:04,grasp_6dof/assets/sphere_small.urdf,0.08,12,4,11,400,5,900.0,0.002,0.025,0.4,1100.0,0.5,1,0.85,12,12,1.0
2025-11-13 23:42:54,grasp_6dof/assets/sphere_small.urdf,0.08,12,5,11,400,5,900.0,0.002,0.025,0.4,1100.0,0.5,1,0.85,12,12,1.0
2025-11-14 00:22:03,grasp_6dof/assets/cylinder.urdf,0.08,12,1,11,400,5,900.0,0.002,0.025,0.4,1100.0,0.5,1,0.85,12,4,0.3333
2025-11-14 00:29:06,grasp_6dof/assets/cylinder.urdf,0.08,12,1,11,400,5,900.0,0.002,0.025,0.4,1100.0,0.5,1,0.85,12,4,0.3333
2025-11-14 00:34:44,grasp_6dof/assets/cylinder.urdf,0.08,12,1,11,400,5,900.0,0.002,0.025,0.4,1100.0,0.5,1,0.85,12,4,0.3333
2025-11-14 00:44:27,grasp_6dof/assets/cylinder.urdf,0.08,12,1,11,400,5,900.0,0.002,0.025,0.4,1100.0,0.5,1,0.85,12,4,0.3333
2025-11-14 00:56:09,grasp_6dof/assets/cylinder.urdf,0.08,12,1,11,400,5,900.0,0.002,0.025,0.4,1100.0,0.5,1,0.85,12,4,0.3333
2025-11-14 01:20:19,grasp_6dof/assets/cylinder.urdf,0.08,12,1,11,400,5,900.0,0.002,0.025,0.4,1100.0,0.5,1,0.85,12,4,0.3333
2025-11-14 01:34:46,grasp_6dof/assets/cylinder.urdf,0.08,12,1,11,400,5,900.0,0.001,0.025,0.5,1300.0,0.7,1,0.85,12,1,0.0833
2025-11-14 19:35:40,grasp_6dof/assets/cylinder.urdf,0.08,12,1,11,400,5,900.0,0.001,0.025,0.5,1300.0,0.7,1,0.85,12,1,0.0833
2025-11-14 19:52:24,grasp_6dof/assets/cylinder.urdf,0.08,12,1,11,400,5,900.0,0.001,0.025,0.4,1100.0,0.5,1,0.85,12,6,0.5
